Date,Open,High,Low,Close,Adj Close,Volume
2022-07-28,0.359143,0.377738,0.351528,0.373376,0.373376,1839928651
2022-07-29,0.373387,0.379096,0.360816,0.368675,0.368675,1706911237
2022-07-30,0.368668,0.407939,0.364860,0.387764,0.387764,1767280595
2022-07-31,0.387775,0.397875,0.380223,0.380458,0.380458,1359568596
2022-08-01,0.380352,0.385396,0.372275,0.379976,0.379976,1059391028
2022-08-02,0.379911,0.391480,0.368336,0.372021,0.372021,1232425419
2022-08-03,0.372039,0.376830,0.364541,0.369852,0.369852,1105707649
2022-08-04,0.369862,0.374591,0.365390,0.371351,0.371351,916895439
2022-08-05,0.371278,0.377899,0.368036,0.376595,0.376595,986100302
2022-08-06,0.376605,0.377061,0.371571,0.371571,0.371571,498759511
2022-08-07,0.371594,0.376724,0.369310,0.372506,0.372506,509151829
2022-08-08,0.372515,0.384142,0.372056,0.378754,0.378754,1030742941
2022-08-09,0.378777,0.379666,0.362936,0.368101,0.368101,4098651206
2022-08-10,0.368080,0.381065,0.360072,0.381065,0.381065,1732723595
2022-08-11,0.381098,0.385110,0.378395,0.380563,0.380563,1088394568
2022-08-12,0.380538,0.380538,0.371483,0.379995,0.379995,923071430
2022-08-13,0.379974,0.386038,0.377452,0.377964,0.377964,590320028
2022-08-14,0.377999,0.390930,0.375888,0.376451,0.376451,754512693
2022-08-15,0.376451,0.384781,0.367961,0.375774,0.375774,1046905199
2022-08-16,0.375666,0.377629,0.368042,0.377237,0.377237,930440616
2022-08-17,0.377227,0.390893,0.369842,0.379707,0.379707,1408497181
2022-08-18,0.379711,0.380862,0.370915,0.370965,0.370965,927786270
2022-08-19,0.370969,0.370969,0.333806,0.335049,0.335049,1645536381
2022-08-20,0.335020,0.342383,0.333622,0.337541,0.337541,848212364
2022-08-21,0.337475,0.348167,0.336499,0.345302,0.345302,835616993
2022-08-22,0.345282,0.345282,0.332524,0.344721,0.344721,1001511240
2022-08-23,0.344734,0.347691,0.333957,0.347092,0.347092,930696331
2022-08-24,0.347074,0.352136,0.339634,0.346145,0.346145,957472562
2022-08-25,0.346179,0.351366,0.344279,0.349497,0.349497,970585823
2022-08-26,0.349464,0.369568,0.333939,0.338370,0.338370,1653482688
2022-08-27,0.338433,0.340249,0.330427,0.335347,0.335347,920820399
2022-08-28,0.335329,0.337161,0.323094,0.323095,0.323095,596573621
2022-08-29,0.323055,0.333797,0.319392,0.333797,0.333797,980137287
2022-08-30,0.333779,0.335482,0.321105,0.326869,0.326869,948448428
2022-08-31,0.326887,0.333613,0.324885,0.327870,0.327870,882676752
2022-09-01,0.327867,0.333194,0.322368,0.333194,0.333194,875126154
2022-09-02,0.333173,0.334934,0.326301,0.331259,0.331259,899373528
